Exercise Name,Primary Vertex,Landmark A,Landmark C,Start Angle Range,End Angle Range,Error Condition
Banded External Rotation,Elbow (13/14),Shoulder (11/12),Wrist (15/16),85-95,135-150,Elbow leaves side
Banded Internal Rotation,Elbow (13/14),Shoulder (11/12),Wrist (15/16),170-180,85-95,Shoulder forward
Serratus Punches,Shoulder (11/12),Chest Mid,Wrist (15/16),Static neutral,Protract 2-3 in,Elbow bend >10
Empty Can (Scaption),Shoulder (11/12),Hip (23/24),Wrist (15/16),175-180,85-95,Shrugging
Wall Slides,Shoulder (11/12),Hip (23/24),Elbow (13/14),85-95,150-170,Back arch >15
Pendulums,Shoulder (11/12),Hip (23/24),Wrist (15/16),Forward Lean,Swing 20 arc,Rigid arm
Face Pulls,Elbow (13/14),Shoulder (11/12),Wrist (15/16),175-180,45-60,Wrist above elbow
Sleeper Stretch,Shoulder (11/12),Sternum,Wrist (15/16),85-95,130-150,Shoulder off floor
Prone Y-Lifts,Shoulder (11/12),Hip (23/24),Wrist (15/16),180 (Prone),150-160,Lower back arch
Wall Lift-Offs,Shoulder (11/12),Hip (23/24),Wrist (15/16),170-180,Protract off wall,Trunk rotation
