Exercise Name,Primary Vertex,Landmark A,Landmark C,Start Angle Range,End Angle Range,Error Condition
Standing Calf R.,Ankle (27/28),Knee (25/26),Toe (31/32),115∘−125∘,150∘−165∘,Forward lean
Seated Calf R.,Ankle (27/28),Knee (25/26),Toe (31/32),85∘−95∘,120∘−135∘,Heels not high
Ankle Pump,Ankle (27/28),Knee (25/26),Toe (31/32),110∘−120∘,Flex/Ext cycle,Bending knee
Ankle Alphabet,Ankle (27/28),Knee (25/26),Toe (31/32),Variable,A-Z Trace,Hip rotation
Towel Curl,Toe (31/32),Ankle (27/28),Foot Mid,175∘−180∘,Flexion,Heel lifting
Banded Eversion,Ankle (27/28),Knee (25/26),Toe (31/32),180∘ (Front),15∘−25∘ Out,Knee rotating
Banded Inversion,Ankle (27/28),Knee (25/26),Toe (31/32),180∘ (Front),20∘−30∘ In,Knee rotating
Tibialis Raise,Ankle (27/28),Knee (25/26),Toe (31/32),140∘−150∘,90∘−110∘,Bending knees
Single-Leg Bal.,Hip (23/24),Shoulder (11/12),Foot (31/32),175∘−180∘,Hold for 30s,Sway >5%
Tandem Stance,Ankle (27/28),Mid-Hip,Shoulder (11/12),Linear alignment,Hold for 30s,Feet separation
