Exercise Name,Primary Vertex,Landmark A,Landmark C,Start Angle Range,End Angle Range,Error Condition
Overhead Press,Shoulder (11/12),Elbow (13/14),Wrist (15/16),80-100,160-180,Back Arching
Barbell Curls,Elbow (13/14),Shoulder (11/12),Wrist (15/16),150-175,30-50,Elbow Flaring
Bench Press,Shoulder (11/12),Elbow (13/14),Wrist (15/16),80-100,160-180,Uneven Press
Hip Thrusts,Hip (23/24),Shoulder (11/12),Knee (25/26),160-180,80-100,Limited Range
Back Squats,Knee (25/26),Hip (23/24),Ankle (27/28),170-180,80-100,Knee Cave
Deadlift,Hip (23/24),Shoulder (11/12),Knee (25/26),160-180,90-110,Rounded Back
Lateral Raises,Shoulder (11/12),Hip (23/24),Elbow (13/14),10-20,80-100,Traps dominance
Push-ups,Elbow (13/14),Shoulder (11/12),Wrist (15/16),160-180,80-100,Sagging Core
Plank,Hip (23/24),Shoulder (11/12),Knee (25/26),170-185,Hold,Hips too high/low
Hanging Leg Raises,Hip (23/24),Shoulder (11/12),Knee (25/26),170-180,85-100,Swinging
Face Pulls,Shoulder (11/12),Elbow (13/14),Wrist (15/16),110-130,30-50,Low Elbows
Bent-over Rows,Shoulder (11/12),Elbow (13/14),Wrist (15/16),160-180,70-90,Rounded Back
Pull-ups,Shoulder (11/12),Elbow (13/14),Wrist (15/16),160-180,30-50,Half Reps
Dumbbell Shrugs,Shoulder (11/12),Ear (7/8),Elbow (13/14),160-180,140-150,Rolling Shoulders
Wrist Curls,Wrist (15/16),Elbow (13/14),Toe (31/32),170-180,140-150,Limited ROM
